,Complex,Metal,Solvent,E12,smiles,Reaction,redox_site_smiles
0,ADEGIB,Co3,DCM,-0.65,C[OH][Co+3]1234Oc5c(CN1(Cc1cc(cc(c1O2)C(C)(C)C)C(C)(C)C)c1ccccc1N3=Cc1cc(cc(c1O4)C(C)(C)C)C(C)(C)C)cc(cc5C(C)(C)C)C(C)(C)C,reduction,[Co+3]
1,ADEGIB,Co3,DCM,"0.23,0.63,1.0",C[OH][Co+3]1234Oc5c(CN1(Cc1cc(cc(c1O2)C(C)(C)C)C(C)(C)C)c1ccccc1N3=Cc1cc(cc(c1O4)C(C)(C)C)C(C)(C)C)cc(cc5C(C)(C)C)C(C)(C)C,oxidation,CC(C)(C)c1cc(C=Nc2ccccc2N(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1/CC(C)(C)c1cc(C=Nc2ccccc2N(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1/CC(C)(C)c1cc(C=Nc2ccccc2N(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
2,ADOLOX,Co2,ACN,-1.18,Br[Co+2]12(Br)(n3ccccc3C=N1c1ccc(cc1)C(O)=O)n1ccccc1C=N2c1ccc(cc1)C(O)=O,reduction,[Co+2]
3,AJONOD,Co2,ACN,-0.85,Br[Co+2]123(Br)N(=C(C)C(=N1c1ccccc1)C)O[B-](F)(F)ON2=C(C)C(=N3c1ccccc1)C,reduction,[Co+2]
4,AJONUJ,Co3,ACN,"-0.58,-1.05",Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccc(OC)cc1)C)O)N(=C(C)C(=N2c1ccc(OC)cc1)C)[O-],reduction,[Co+3]/[Co+3]
5,AJOPAR,Co3,ACN,"-0.2,-0.82",Br[Co+3]123(Br)N(=C(C)C(=N1c1ccc(OC)cc1)C)O[B-](F)(F)ON2=C(C)C(=N3c1ccc(OC)cc1)C,reduction,[Co+3]/[Co+3]
6,AJOPEV,Co3,ACN,"-0.36,-1.03",Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccc(CC(O)=O)cc1)C)O)N(=C(C)C(=N2c1ccc(CC(O)=O)cc1)C)[O-],reduction,[Co+3]/[Co+3]
7,AJOPIZ,Co3,ACN,"-0.4,-0.9",Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccccc1c1ccccc1)C)O)N(=C(C)C(=N2c1ccccc1c1ccccc1)C)[O-],reduction,[Co+3]/[Co+3]
8,ALOVAZ,Mn3,DCM,-0.52,CCCCCCOc1ccc2C=N3CC[NH]4CC[NH]5CCN6=Cc7ccc(OCCCCCC)cc7O[Mn+3]3456Oc2c1,reduction,[Mn+3]
9,ALOVAZ,Mn3,DCM,0.21,CCCCCCOc1ccc2C=N3CC[NH]4CC[NH]5CCN6=Cc7ccc(OCCCCCC)cc7O[Mn+3]3456Oc2c1,oxidation,[Mn+3]
