Unnamed: 0,Complex,E12,smiles,split
0,GOCMER,0.75,CC1=NN(C(=C1)C)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)N1N=C(C)C=C1C,train
1,ADEJIE,0.71,c1ccc2n(c1)[Fe+2]134(n5ccccc5c5cccc2n15)n1ccccc1c1cccc(n31)c1ccccn41,train
2,ADEJOK,0.52,CC(C)(C)C1=CC2=C3C=C(C(C)(C)C)C=CN3[Fe+2]34(N2C=C1)(N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN13)N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN14,train
3,AGUYUW,0.65,CCC[OH][Fe+2]123([OH]CCC)N4C5=C(C6=N1C(=C(C1=C(C(=C(N21)C(=C1N3=C(C(=C4C(=C5N(=O)=O)N(=O)=O)c2c(Cl)cccc2Cl)C(=C1N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl)N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl)C(=C6N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl,train
4,AHINIR,0.0,Cl[Fe+2]123(Cl)n4ccc(cc4CN1(C)CCN2(C)Cc1cc(ccn31)N(=O)=O)N(=O)=O,train
5,AHINOX,0.74,CC#N[Fe+2]123(N#CC)n4ccccc4CN1(C)CCN2(C)Cc1ccccn31,train
6,AHINUD,0.96,CC#N[Fe+2]123(N#CC)n4ccc(cc4CN1(C)CCN2(C)Cc1cc(ccn31)N(=O)=O)N(=O)=O,train
7,ALOVAZ,0.21,CCCCCCOc1ccc2C=N3CC[NH]4CC[NH]5CCN6=Cc7ccc(OCCCCCC)cc7O[Mn+3]3456Oc2c1,test
8,ALOVED,0.26,CCCCCCOc1ccc2C=N3CCC[NH]4CC[NH]5CCCN6=Cc7ccc(OCCCCCC)cc7O[Mn+3]3456Oc2c1,train
9,ALOVIH,0.31,CCCCCCOc1cccc2O[Mn+3]3456Oc7cccc(OCCCCCC)c7C=N3CCC[NH]4CC[NH]5CCCN6=Cc12,train
10,AROFIX,-0.088,Cl[Fe+3]123(Cl)[OH]C(CCl)CN1(Cc1ccccn21)Cc1ccccn31,test
11,AXISIJ,0.16,Cl[Mn+2]123(Cl)Oc4ccc(cc4CN1(Cc1ccccn21)Cc1ccccn31)N(=O)=O,train
12,AXISOP,0.13,Cl[Mn+2]12(Cl)([OH]CC)n3ccccc3CN1(Cc1cccc(C)n21)Cc1cc(ccc1O)N(=O)=O,train
13,AXITAC,0.35,Br[Mn+2]123(Br)[OH]c4ccc(Br)cc4CN1(Cc1ccccn21)Cc1ccccn31,train
14,BILXAX,-0.474,O=C1O[Fe+2]234(OC5=C(Oc6ccccc6C5=O2)c2ccccc2)n2ccccc2CN3(Cc2ccccn42)Cc2ccccc12,test
15,BILXEB,-0.442,O=C1O[Co+2]234(OC5=C(Oc6ccccc6C5=O2)c2ccccc2)n2ccccc2CN3(Cc2ccccn42)Cc2ccccc12,train
16,CAKKOQ,0.79,O=C1N2c3ccccc3O3CCO4c5ccccc5N5C(=O)c6ccccn6[Ni+2]2345n2ccccc12,train
