Complex,E12,smiles,split
ADEGIB,-0.65,C[OH][Co+3]1234Oc5c(CN1(Cc1cc(cc(c1O2)C(C)(C)C)C(C)(C)C)c1ccccc1N3=Cc1cc(cc(c1O4)C(C)(C)C)C(C)(C)C)cc(cc5C(C)(C)C)C(C)(C)C,train
ADOLOX,-1.4220000000000002,Br[Co+2]12(Br)(n3ccccc3C=N1c1ccc(cc1)C(O)=O)n1ccccc1C=N2c1ccc(cc1)C(O)=O,train
AJONOD,-0.85,Br[Co+2]123(Br)N(=C(C)C(=N1c1ccccc1)C)O[B-](F)(F)ON2=C(C)C(=N3c1ccccc1)C,train
AJONUJ,-0.58,Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccc(OC)cc1)C)O)N(=C(C)C(=N2c1ccc(OC)cc1)C)[O-],train
AJOPAR,-0.2,Br[Co+3]123(Br)N(=C(C)C(=N1c1ccc(OC)cc1)C)O[B-](F)(F)ON2=C(C)C(=N3c1ccc(OC)cc1)C,test
AJOPEV,-0.36,Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccc(CC(O)=O)cc1)C)O)N(=C(C)C(=N2c1ccc(CC(O)=O)cc1)C)[O-],train
AJOPIZ,-0.4,Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccccc1c1ccccc1)C)O)N(=C(C)C(=N2c1ccccc1c1ccccc1)C)[O-],test
ALOVAZ,-0.52,CCCCCCOc1ccc2C=N3CC[NH]4CC[NH]5CCN6=Cc7ccc(OCCCCCC)cc7O[Mn+3]3456Oc2c1,train
ADEJIE,-1.64,c1ccc2n(c1)[Fe+2]134(n5ccccc5c5cccc2n15)n1ccccc1c1cccc(n31)c1ccccn41,test
ALOVIH,-0.73,CCCCCCOc1cccc2O[Mn+3]3456Oc7cccc(OCCCCCC)c7C=N3CCC[NH]4CC[NH]5CCCN6=Cc12,train
AQODAL,-1.1,CC(C)(C)c1cc2N3c4cccc5cccn(c45)[Mn+4]453(Oc2c(c1)C(C)(C)C)Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)N4c1cccc2cccn5c12,train
BEHHUT,-1.612,C[OH][Fe+3]123(Oc4ccccc4C=N1c1ccccc1N2=Cc1ccccc1O3)N=[N+]=[N-],train
BEHJAB,-1.567,C[OH][Fe+3]123(Oc4ccccc4C=N1c1ccccc1N2=Cc1ccccc1O3)N=C=S,train
BEHJEF,-0.627,COc1cccc2C=N3c4ccccc4N4=Cc5cccc(OC)c5O[Fe+3]34(Oc12)(N1=CNC=C1)N1=CNC=C1,train
BETCIP,-0.032,Cl[Fe+3]123(Cl)O(C)c4ccccc4N1(Cc1ccccn21)Cc1ccccn31,train
BOFLIT,-0.321,[OH2][Mn+3]123([OH2])Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3,train
BOFLOZ,-0.089,[OH2][Mn+3]123(Oc4c(OC)cccc4C=N1CCCN2=Cc1cccc(OC)c1O3)N=C=S,train
BUJGOD,-0.877,Cl[Fe+3]1234Oc5ccccc5C[NH]1CC(C)(C[NH]2Cc1ccccc1O3)c1ccccn41,test
CAKKOQ,-1.26,O=C1N2c3ccccc3O3CCO4c5ccccc5N5C(=O)c6ccccn6[Cu+2]2345n2ccccc12,train
CIBDIB,-1.22,COc1cccc2C=O[Co+2]34(Oc12)(Oc1c(OC)cccc1C=O3)n1ccccc1c1ccccn41,test
DAVGOX,-0.347,C[OH][Mn+3]123(Oc4ccccc4C=N1c1ccccc1N2=Cc1ccccc1O3)Oc1ccccc1C1=Nc2ccccc2N1,train
DEVMOH01,-0.627,[OH2][Mn+3]123(Cl)Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3,train
EBEFAU02,-0.6295,[OH2][Mn+3]123(Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3)N=C=S,train
ZIRNUL,-0.6405,[OH2][Mn+3]123(OC(C)=O)Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3,train
ZIRPEX,-0.639,[OH2][Mn+3]123(Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3)N=[N+]=[N-],train
ZIRPOH,-0.628,[OH2][Mn+3]123(Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3)N=C=[S],train
EGOTID,-0.96,O1C2CCCCC2N2=Cc3ccccc3O[Mn+4]3412OC1CCCCC1N3=Cc1ccccc1O4,test
EGOTOJ,-0.9,O1CCN2=Cc3c(O[Mn+4]4512OCCN4=Cc1c(O5)ccc2ccccc12)ccc1ccccc31,train
ESAHOV,-0.116,[OH2][Fe+3]123(Cl)Oc4ccc(cc4CN1(CCN2(C)C)Cc1cc(ccc1O3)N(=O)=O)N(=O)=O,train
FAQSAU,-0.28,Cl[Co+2]12(Cl)(O=C(N(C(C)C)C(C)C)c3ccccn13)O=C(N(C(C)C)C(C)C)c1ccccn21,train
FILSIE,-0.385,[OH2][Mn+3]123(Oc4c(OC)cccc4C=N1CCN2=Cc1cccc(OC)c1O3)N#C[N-]C#N,train
GAQDUX,-0.82,O1CCN2=Cc3ccccc3O[Mn+4]3412OCCN3=Cc1ccccc1O4,train
GUVNES,-0.21,Fc1c(F)c(F)c(c(F)c1F)B12n3cccn3[Fe+2]34(n5cccn15)(n1cccn21)n1cccn1B(c1c(F)c(F)c(F)c(F)c1F)(n1cccn31)n1cccn41,train
MADVET,-0.36,O1c2ccccc2C=N2CC[NH]3CC[NH]4CCN5=Cc6ccccc6O[Mn+3]12345,train
MALFET02,-0.277,[OH2][Fe+3]([OH2])([OH2])([OH2])(OC(=O)C=CC(O)=O)OC(=O)C=CC(O)=O,train
NACZEX,-0.539,C[OH][Mn+3]123(Oc4c(O)cccc4C=N1CCN2=Cc1cccc(O)c1O3)[OH]C,train
NEKKUM,-1.9,Cl[Fe+2]123(N4C=CC=CC4=C4C=CC=CN41)N1C(=CC=C1C[P]2(C1CCCCC1)C1CCCCC1)C[P]3(C1CCCCC1)C1CCCCC1,test
NELLUN,-1.507,[N-]=[N+]=N[Co+2]123(N=[N+]=[N-])[NH](CC[NH]1Cc1ccccn21)Cc1ccccn31,test
NELMAU,-1.407,COC1[NH]2CC[NH]3C(OC)c4ccccn4[Co+2]23(N=[N+]=[N-])(N=[N+]=[N-])n2ccccc12,train
PUSYIL,-0.725,Cl[Fe+3]123(Cl)Oc4ccc(cc4CN1(Cc1ccccn21)Cc1ccccn31)N(=O)=O,train
YEMRUE,-0.453,Cl[Fe+3]123(Cl)OC(=O)CCN1(Cc1ccccn21)Cc1ccccn31,test
DISWUY,-0.89,Cc1cccc2n1[Fe+2]134(n5c(C)cccc5c5nc(nc2n15)c1ccc(Br)cc1)n1c(C)cccc1c1nc(nc(n31)c1cccc(C)n41)c1ccc(Br)cc1,train
DISWOS,-0.8,Brc1ccc(cc1)c1nc2n3c(n1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2nc(nc(n12)c1ccccn41)c1ccc(Br)cc1,train
DISWEI,-1.58,Brc1ccc(cc1)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)c1ccc(Br)cc1,test
ADEJOK,-1.85,CC(C)(C)C1=CC2=C3C=C(C(C)(C)C)C=CN3[Fe+2]34(N2C=C1)(N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN13)N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN14,train
CANZUO,-0.2,C1CCOCCOc2ccc(cc2)c2cccc3cc4n(cc23)[Co+3]235(n6cc7c(cccc7c7ccc(OCCOC1)cc7)cc6c1cccc4n21)n1cc2c4cccc2c2ccc(OCCOCCCCOCCOc6ccc(cc6)c6cccc7cc(n3cc67)c3cccc(n53)c1c4)cc2,train
NAMLEV,-0.772,Fc1ccc2O[Fe+2]345(Oc6ccc(F)cc6C=N3c3cccc6cccn4c36)n3cccc4cccc(N5=Cc2c1)c34,train
GOCMER,-1.44,CC1=NN(C(=C1)C)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)N1N=C(C)C=C1C,train
JOHMOJ,-2.18,Cl[Ti+4]12345678(Oc9ccccc9)(c9c1c2c3(c49)[Si](C)(C)C)c1c5c6c7(c81)[Si](C)(C)C,test
JOHNEA,-2.24,Cl[Ti+4]12345678(Oc9ccc(OC)cc9)(c9c1c2c3(c49)[Si](C)(C)C)c1c5c6c7(c81)[Si](C)(C)C,train
JOHNIE,-1.98,Cl[Ti+4]12345678(Oc9ccc(cc9)C(=O)OC)(c9c1c2c3(c49)[Si](C)(C)C)c1c5c6c7(c81)[Si](C)(C)C,train
JOHMID,-2.19,Cl[Ti+4]12345678(Oc9cccc(c9)N(=O)=O)(c9c1c2c3(c49)[Si](C)(C)C)c1c5c6c7(c81)[Si](C)(C)C,train
JOHMUP,-2.02,C[Si](C)(C)c12c3c4c5c1[Ti+4]16782345(Oc2ccc(cc2)N(=O)=O)(Oc2ccc(cc2)N(=O)=O)c2c1c6c7(c82)[Si](C)(C)C,train
MOHHIC,-0.88,NC1=[NH][Cu+2]2(Oc3ccccc3C=N2N1)N=C=S,test
MOHHOI,-0.95,NC1=[NH][Cu+2]2(Oc3ccccc3C=N2N1)N=[N+]=[N-],train
NIHNEX,-1.692,CC(=O)C1=C[NH]2C3CCCCC3[NH]3C=C(C(C)=O)C(=O[Ni+3]23O=C1C)C,train
PIMROS,-0.31,N#CC1=C(S[Ni+3]2(S1)SC(=C([S-]2)C#N)C#N)C#N,train
