Complex,E12,smiles,split
AJONUJ,-1.05,Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccc(OC)cc1)C)O)N(=C(C)C(=N2c1ccc(OC)cc1)C)[O-],train
AJOPAR,-0.82,Br[Co+3]123(Br)N(=C(C)C(=N1c1ccc(OC)cc1)C)O[B-](F)(F)ON2=C(C)C(=N3c1ccc(OC)cc1)C,train
AJOPEV,-1.03,Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccc(CC(O)=O)cc1)C)O)N(=C(C)C(=N2c1ccc(CC(O)=O)cc1)C)[O-],train
AJOPIZ,-0.9,Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccccc1c1ccccc1)C)O)N(=C(C)C(=N2c1ccccc1c1ccccc1)C)[O-],train
ADEJIE,-1.8,c1ccc2n(c1)[Fe+2]134(n5ccccc5c5cccc2n15)n1ccccc1c1cccc(n31)c1ccccn41,test
DISWUY,-1.16,Cc1cccc2n1[Fe+2]134(n5c(C)cccc5c5nc(nc2n15)c1ccc(Br)cc1)n1c(C)cccc1c1nc(nc(n31)c1cccc(C)n41)c1ccc(Br)cc1,train
DISWOS,-0.89,Brc1ccc(cc1)c1nc2n3c(n1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2nc(nc(n12)c1ccccn41)c1ccc(Br)cc1,train
DISWEI,-1.7,Brc1ccc(cc1)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)c1ccc(Br)cc1,test
ADEJOK,-2.04,CC(C)(C)C1=CC2=C3C=C(C(C)(C)C)C=CN3[Fe+2]34(N2C=C1)(N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN13)N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN14,train
CANZUO,-1.25,C1CCOCCOc2ccc(cc2)c2cccc3cc4n(cc23)[Co+3]235(n6cc7c(cccc7c7ccc(OCCOC1)cc7)cc6c1cccc4n21)n1cc2c4cccc2c2ccc(OCCOCCCCOCCOc6ccc(cc6)c6cccc7cc(n3cc67)c3cccc(n53)c1c4)cc2,train
GOCMER,-1.66,CC1=NN(C(=C1)C)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)N1N=C(C)C=C1C,train
JOHMOJ,-2.76,Cl[Ti+4]12345678(Oc9ccccc9)(c9c1c2c3(c49)[Si](C)(C)C)c1c5c6c7(c81)[Si](C)(C)C,train
JOHNEA,-2.82,Cl[Ti+4]12345678(Oc9ccc(OC)cc9)(c9c1c2c3(c49)[Si](C)(C)C)c1c5c6c7(c81)[Si](C)(C)C,test
JOHNIE,-3.02,Cl[Ti+4]12345678(Oc9ccc(cc9)C(=O)OC)(c9c1c2c3(c49)[Si](C)(C)C)c1c5c6c7(c81)[Si](C)(C)C,train
JOHMID,-2.37,Cl[Ti+4]12345678(Oc9cccc(c9)N(=O)=O)(c9c1c2c3(c49)[Si](C)(C)C)c1c5c6c7(c81)[Si](C)(C)C,train
JOHMUP,-3.07,C[Si](C)(C)c12c3c4c5c1[Ti+4]16782345(Oc2ccc(cc2)N(=O)=O)(Oc2ccc(cc2)N(=O)=O)c2c1c6c7(c82)[Si](C)(C)C,train
MOHHIC,-1.1800000000000002,NC1=[NH][Cu+2]2(Oc3ccccc3C=N2N1)N=C=S,train
MOHHOI,-1.24,NC1=[NH][Cu+2]2(Oc3ccccc3C=N2N1)N=[N+]=[N-],train
