Metal,IE / eV,EA / eV,E12,RE,Reaction,Solvent
Co,7.83212,0.6581494,,,,
Co1,16.9744,0.267,,,,
Co2,33.2896,0.625,-0.833,SHE,reduction,H2O
Co3,50.985,1.228,1.54,SHE,reduction,H2O
Co4,79.001,1.889,,,,
Cr,6.72487,0.6716,,,,
Cr1,16.3831,0.244,,,,
Cr2,30.7661,0.607,,,,
Cr3,48.8529,1.142,-1.06,SHE,reduction,H2O
Cr4,69.0306,1.807,,,,
Cu,7.67865,1.2281205,,,,
Cu1,20.16637,0.275,0.141,SHE,reduction,H2O
Cu2,36.6165,0.749,,,,
Cu3,57.0208,1.357,2.02,SHE,reduction,H2O
Cu4,79.31,2.112,,,,
Fe,7.85375,0.1522855,,,,
Fe1,16.087,0.261,,,,
Fe2,30.457,0.582,-1.077,SHE,reduction,H2O
Fe3,54.487,1.119,0.14,SHE,reduction,H2O
Fe4,74.572,2.022,,,,
Mn,7.38819,-0.515,,,,
Mn1,15.5427,0.268,
Mn2,33.4544,0.568,-1.427,SHE,reduction,H2O
Mn3,50.882,1.241,0.91,SHE,reduction,H2O
Mn4,71.997,1.894,0.32,SHE,reduction,H2O
Ni,7.59213,1.149995,,,,
Ni1,18.055,0.271,
Ni2,34.9685,0.668,-0.749,SHE,reduction,H2O
Ni3,54.59,1.293,1.67,SHE,reduction,H2O
Ni4,75.5917,2.026,
Sc,6.52093,0.1854,,,,
Sc1,12.7205,0.238,
Sc2,24.60258,0.580,
Sc3,73.03318,0.787,,SHE,reduction,
Sc4,91.0829,2.695,
Ti,6.78564,0.075,,,,
Ti1,13.49094,0.248,,
Ti2,27.32075,0.495,,
Ti3,42.99838,1.005,,SHE,reduction,
Ti4,98.6843,1.586,
V,6.70427,0.5243833,,,,
V1,14.5642,0.240,
V2,29.149,0.537,
V3,46.4221,1.075,,SHE,reduction,
V4,64.87661,1.716,
Zn,9.336,-0.5974,,,,
Zn1,17.853,0.241,
Zn2,39.4799,0.478,
Zn3,59.0293,0.842,
Zn4,82.091,1.251,
Ag,7.5293,1.2963786,,,,
Ag1,21.321,0.277,0.42,SHE,reduction,H2O
Ag2,34.6183,0.789,1.60,SHE,reduction,H2O
Ag3,,1.273,1.42,SHE,reduction,H2O
Ag4,,1.838
Cd,8.93834,-0.7004,,,,
Cd1,16.803,0.328,
Cd2,37.2448,0.619,-0.05,SHE,reduction,H2O
Cd3,,1.377,
Cd4,,1.929,
Mo,7.04829,0.7426299999999999,,,,
Mo1,16.068,0.261,
Mo2,26.965,0.588,
Mo3,46.144,0.992,
Mo4,54.147,1.468,
Nb,6.71663,0.9117148,,,,
Nb1,14.214,0.197,
Nb2,24.885,0.515,
Nb3,38.11,0.918,
Nb4,50.23,1.374,
Pd,8.28532,0.5586720000000001,,,,
Pd1,19.261,0.306,
Pd2,32.723,0.708,2.53,SHE,reduction,H2O
Pd3,,0.120,
Pd4,,1.745,
Rh,7.412910000000001,1.135781,,,,
Rh1,17.92,0.272,
Rh2,30.87,0.655,
Rh3,,1.127,
Rh4,,1.620,
Ru,7.315060000000001,1.039888,,,,
Ru1,16.686,0.271,
Ru2,28.2941,0.604,
Ru3,,1.026,
Ru4,,1.689,
Tc,7.2306,0.5459,,,,
Tc1,15.14,0.259,
Tc2,29.355,0.558,
Tc3,,1.092,
Tc4,,1.563,
Y,6.18,0.30488,,,,
Y1,12.154,0.219,
Y2,20.394,0.481,
Y3,60.2241,0.718,
Y4,76.529,2.238,
Zr,6.593030000000001,0.4306018,,,,
Zr1,13.081,0.241,
Zr2,22.8454,0.478,
Zr3,34.1239,0.842,
Zr4,79.8456,1.251,
Au,9.16803,2.2942941,,,,
Au1,20.394,0.335,1.31,SHE,reduction,H2O
Au2,,0.758,1.42,SHE,reduction,H2O
Au3,,1.195,
Au4,,1.695,
Hf,6.7825500000000005,0.176954,,,,
Hf1,14.832,0.261,
Hf2,23.175,0.515,
Hf3,33.1248,0.877,
Hf4,,1.127
Hg,10.37313,-0.4944,,,,
Hg1,18.643,0.379,
Hg2,33.99,0.685,2.066,SHE,reduction,H2O
Hg3,,1.289,
Hg4,,1.779,
Ir,9.064,1.554682,,,,
Ir1,16.48,0.316,
Ir2,,0.643,
Ir3,,1.060,
Ir4,,1.503,
Os,8.652,1.071097,,,,
Os1,16.48,0.330,
Os2,,0.599,
Os3,,0.970,
Os4,,1.571,
Pt,8.961,2.1119223,,,,
Pt1,18.4473,0.328,
Pt2,,0.686,
Pt3,,1.126,
Pt4,,1.612,
Re,7.828,0.06002119,,,,
Re1,12.978,0.280,
Re2,25.853,0.610,
Re3,37.492,1.028,
Re4,,1.459,
Ta,7.8383,0.3193,,,,
Ta1,15.45,0.271,
Ta2,,0.549,
Ta3,,0.872,
Ta4,,1.498,
W,7.931,0.8112280000000001,,,,
W1,17.51,0.280,
W2,,0.582,
W3,,0.938,
W4,,1.379,
Rf,5.974,,,,,
