Complex,Metal,Metal_,Solvent,E12,RE,smiles
MIJXAF,Cu2,Cu(II)Cu(II)/Cu(I)Cu(II),H2O,0.109(E12),SCE,CC1C([OH][Cu]23(Cl[Cu]45(Cl2)Oc2ccccc2C=N4C(C)C([OH]5)c2ccccc2)Oc2ccccc2C=N13)c1ccccc1
NIKBAK,Cu1,Cu(I)Cu(I),DCM,0.5(ox_peak)/0.4(red_peak),SCE,O=N(=O)O[Cu]1[P](C[P]([Cu](ON(=O)=O)[P](C[P]1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
MEFNUG,Cu2,Cu(II)Cu(II),H20,0.684(ox_E12_2e-)/-0.063(red_E12_2e-),SCE,[OH2][Cu]123[NH2]C(C)CN1C(=O)C(C1C(=O)N4CC(C)[NH2][Cu]54([OH2])[NH2]C(C)CN5C1=O)C(=O)N2CC(C)[NH2]3
DEWJEV,Mo4,Mo(IV)Ni(II),DCM,-0.905(rev_red_E12)/0.748(irrev_ox_peak),Ag/AgCl,S1C(=C([S]2[Ni]34567([S]8C(=C(S[Mo]9%10%11%121238c1c9c%10c%11c%121)c1ccccc1)c1ccccc1)c1c4c5c6c71)c1ccccc1)c1ccccc1
DEWJAR,Mo4,Mo(IV)Ni(II)Mo(IV),DCM,-0.132(red_E12)/-0.666(2nd_red_peak_Ni)/0.454(ox_peak)/1.032(ox_peak),Ag/AgCl,S1C(=C(S[Mo]2345671([S]1C(=C([S]2[Ni]2831[S]1C(=C(S[Mo]39%10%11%1221(SC(=C([S]83)c1ccccc1)c1ccccc1)c1c9c%10c%11c%121)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1c4c5c6c71)c1ccccc1)c1ccccc1
IVUVUQ,Ti4,Ti(IV)Ag(I)Ti(IV)Ag(I),THF,-1.27(red_peak_Ag)/-2.34(red_peak_Ti),SCE,C[Si](C)(C)C1#C2[Ag]31(O[Cl](=O)(=O)=O)(C(#C3[Si](C)(C)C)[Ti]134567892(c2c1c3c4(c52)[Si](C)(C)C)c1c6c7c8(c91)[Si](C)(C)C)n1ccn(cc1)[Ag]123(O[Cl](=O)(=O)=O)C(#C1[Si](C)(C)C)[Ti]1456789%10(C2#C3[Si](C)(C)C)(c2c1c4c5(c62)[Si](C)(C)C)c1c7c8c9(c%101)[Si](C)(C)C
TOXMAU,Fe2,Fe(II)Fe(II)1b,DCE,-1.24(1stFe_red_E12)/-1.42(2ndFe_red_E12),Ag/AgCl,CCO[P](OCC)(OCC)[FeH+]([NH]=Nc1ccc(cc1C)c1ccc(N=[NH][FeH+]([P](OCC)(OCC)OCC)([P](OCC)(OCC)OCC)([P](OCC)(OCC)OCC)[P](OCC)(OCC)OCC)c(C)c1)([P](OCC)(OCC)OCC)([P](OCC)(OCC)OCC)[P](OCC)(OCC)OCC
DEFDID,V4,V(IV)V(IV),MeCN,0.66(1st_ox_E12)/0.99(2nd_ox_E12),Ag/AgCl,O=[V]123(O=P(OCC)(OCC)[Co]4567(c8c4c5c6c78)(P(=O1)(OCC)OCC)P(=O2)(OCC)OCC)O=P(=O[V]12(=O)(O=P(OCC)(OCC)[Co]4567(c8c4c5c6c78)(P(=O1)(OCC)OCC)P(=O2)(OCC)OCC)O=P(=O3)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
DEFDOJ,V4,V(IV)V(IV),MeCN,0.80(1st_ox_E12)/1.14(2nd_ox_E12),Ag/AgCl,O=[V]123(O=[PH](=O[V]45(=O)(O=[PH](=O1)c1ccccc1)O=P(OCC)(OCC)[Co]1678(c9c1c6c7c89)(P(=O4)(OCC)OCC)P(=O5)(OCC)OCC)c1ccccc1)O=P(OCC)(OCC)[Co]1456(c7c1c4c5c67)(P(=O2)(OCC)OCC)P(=O3)(OCC)OCC
DEFDUP,V4,V(IV)V(IV),MeCN,0.52(1st_ox_E12)/0.94(2nd_ox_E12),Ag/AgCl,O=[V]123(O=P(OCC)(OCC)[Co]4567(c8c4c5c6c78)(P(=O1)(OCC)OCC)P(=O2)(OCC)OCC)O=P(=O[V]12(=O)(O=P(OCC)(OCC)[Co]4567(c8c4c5c6c78)(P(=O1)(OCC)OCC)P(=O2)(OCC)OCC)O=P(=O3)(O)c1ccccc1)(O)c1ccccc1
DEFFAX,V4,V(IV)V(IV),MeCN,1.13(1st_ox_E12)/1.55(2nd_ox_E12),Ag/AgCl,O=[V]123(O=P(OCC)(OCC)[Co]4567(c8c4c5c6c78)(P(=O1)(OCC)OCC)P(=O2)(OCC)OCC)O=P(=O[V]12(=O)(O=P(OCC)(OCC)[Co]4567(c8c4c5c6c78)(P(=O1)(OCC)OCC)P(=O2)(OCC)OCC)O=P(=O3)(O)Oc1ccc(cc1)N(=O)=O)(O)Oc1ccc(cc1)N(=O)=O
DEFFOL,V4,V(IV)V(IV),MeCN,0.69(1st_ox_E12)/1.12(2nd_ox_E12),Ag/AgCl,O=[V]123(O=P(OCC)(OCC)[Co]4567(c8c4c5c6c78)(P(=O1)(OCC)OCC)P(=O2)(OCC)OCC)O=P(=O[V]12(=O)(O=P(OCC)(OCC)[Co]4567(c8c4c5c6c78)(P(=O1)(OCC)OCC)P(=O2)(OCC)OCC)O=P(=O3)(O)C(C)(C)C)(O)C(C)(C)C
