Complex,Metal,Solvent,E12,smiles,Ox_site,Reaction,redox_sites,redox_site_smiles
Fe(DMP)Cl2,Fe2,DCM,"0.0,0.1",CC(C=C1)=[N]([Fe+2]2(Cl)Cl)C3=C1C=CC4=C3[N]2=C(C)C=C4,metal,oxidation,,"Fe"
Fe(DMP)Cl2,Fe2,DCM,"0.0,0.1",CC(C=C1)=[N]([Fe+2]2(Cl)Cl)C3=C1C=CC4=C3[N]2=C(C)C=C4,metal,reduction,,"Fe"
Fe(DMP)Cl,Fe2,DCM,"0.0,0.1",CC(C=CC1=C2C([N]3=C(C=C4)C)=C4C=C1)=[N]2[Fe+]3Cl,metal,oxidation,,"Fe"
Fe(DMP)Cl,Fe2,DCM,"0.0,0.1",CC(C=CC1=C2C([N]3=C(C=C4)C)=C4C=C1)=[N]2[Fe+]3Cl,metal,reduction,,"Fe"
Fe(DMP)Cl2MeCN,Fe2,DCM,"0.0,0.1",CC(C=CC1=C2C([N]3=C(C=C4)C)=C4C=C1)=[N]2[Fe]3(Cl)([N]#CC)Cl,metal,oxidation,,"Fe"
Fe(DMP)Cl2MeCN,Fe2,DCM,"0.0,0.1",CC(C=CC1=C2C([N]3=C(C=C4)C)=C4C=C1)=[N]2[Fe]3(Cl)([N]#CC)Cl,metal,reduction,,"Fe"
Fe(DMP)(MeCN)Cl,Fe2,DCM,"0.0,0.1",CC(C=CC1=C2C([N]3=C(C=C4)C)=C4C=C1)=[N]2[Fe+]3([N]#CC)Cl,metal,oxidation,,"Fe"
Fe(DMP)(MeCN)Cl,Fe2,DCM,"0.0,0.1",CC(C=CC1=C2C([N]3=C(C=C4)C)=C4C=C1)=[N]2[Fe+]3([N]#CC)Cl,metal,reduction,,"Fe"
MIKKEX,Mn2,DCM,"0.0,0.1",Cl[Mn+2]123(Cl)n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,oxidation,,"Fe"
MIKKEX,Mn2,DCM,"0.0,0.1",Cl[Mn+2]123(Cl)n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,reduction,,"Fe"
DOQRAC,Fe2,DCM,"0.0,0.1",CC#N[Fe+2]12(N#CC)(N#CC)N3(C)CCN1(C)CCN2(C)CC3,metal,oxidation,,"Fe"
DOQRAC,Fe2,DCM,"0.0,0.1",CC#N[Fe+2]12(N#CC)(N#CC)N3(C)CCN1(C)CCN2(C)CC3,metal,reduction,,"Fe"
EQAZON,Co1,DCM,"0.0,0.1",Br[Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,oxidation,,"Fe"
EQAZON,Co1,DCM,"0.0,0.1",Br[Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,reduction,,"Fe"
EQAZON,Co3,DCM,"0.0,0.1",Br[Co+]12([N](CC3=[N]1C=CC=C3)(CC4=[N]2C=CC=C4)C5)(Br)[N]6=C5C=CC=C6,metal,oxidation,,"Fe"
EQAZON,Co3,DCM,"0.0,0.1",Br[Co+]12([N](CC3=[N]1C=CC=C3)(CC4=[N]2C=CC=C4)C5)(Br)[N]6=C5C=CC=C6,metal,reduction,,"Fe"
EQAZON,Co3,DCM,"0.0,0.1",Br[Co+2]12([N](CC3=[N]1C=CC=C3)(CC4=[N]2C=CC=C4)C5)([N]#CC)[N]6=C5C=CC=C6,metal,oxidation,,"Fe"
EQAZON,Co3,DCM,"0.0,0.1",Br[Co+2]12([N](CC3=[N]1C=CC=C3)(CC4=[N]2C=CC=C4)C5)([N]#CC)[N]6=C5C=CC=C6,metal,reduction,,"Fe"
EQAZON,Co3,DCM,"0.0,0.1",Br[Co+]12([N](CC3=[N]1C=CC=C3)(CC4=[N]2C=CC=C4)C5)(Br)[N]6=C5C=CC=C6,metal,oxidation,,"Fe"
EQAZON,Co3,DCM,"0.0,0.1",Br[Co+]12([N](CC3=[N]1C=CC=C3)(CC4=[N]2C=CC=C4)C5)(Br)[N]6=C5C=CC=C6,metal,reduction,,"Fe"
EQAZON,Co3,DCM,"0.0,0.1",[OH2][Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,oxidation,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",[OH2][Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,reduction,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",[OH][Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,oxidation,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",[OH][Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,reduction,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",[NH3][Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,oxidation,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",[NH3][Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,reduction,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",[NH2][Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,oxidation,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",[NH2][Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,reduction,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",Cl[Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,oxidation,,"Co"
EQAZON,Co3,DCM,"0.0,0.1",Cl[Co+]123n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,metal,reduction,,"Co"
