smiles,pka_values
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,4.79
[O-][N+](=O)c1cc2cccnc2c3ncccc13,3.22
[O-][n+]1ccccc1S,4.43
C=CCCc1ccccn1,5.88
C=CCc1ccccn1,5.34
C=Cc1ccccn1,5.04
C=Cc1ccncc1,5.4
CC(=O)C(O)=O,2.26
Cc1ccc(O)cc1,10.04
Cc1ccc2ccc3ccc(C)nc3c2n1,5.83
Cc1ccc2ccc3cccnc3c2n1,5.31
C[C@]1(CCC(=O)N1)C(O)=O,3.14
C1CCNCC1,11.08
C1CN(CCN1)c2ccccc2,8.6
C=CCCCc1ccccn1,5.97
Cc1[nH]ccn1,7.9
Cc1c(C)c2cccnc2c3ncccc13,5.6
Cc1c[nH]cn1,7.55
Cc1cc(C)cc(O)c1,9.98
Cc1cc(C)nc(C)c1,7.22
Cc1cc2cccnc2c3ncccc13,5.27
Cc1ccc(CN)cc1,9.51
Cc1ccc(N)c(N)c1,4.79
Oc1cccc(I)c1,8.74
Oc1cccc(c1)C#N,8.36
Oc1cccc(c1)[N+]([O-])=O,8.16
Oc1cccc2ccccc12,9.14
Oc1cccc[n+]1[O-],5.81
Oc1ccccc1,9.78
Oc1ccccc1Br,8.22
CC(=O)NCCc1c[nH]cn1,7.12
CC(=O)NO,9.29
CC(C)(C)N,10.65
Oc1ccc2ccccc2c1,9.31
Oc1ccc2ccccc2c1[N+]([O-])=O,5.75
Oc1cccc(Br)c1,8.75
Oc1cccc(F)c1,8.81
s1cccc1c2ccccn2,3.69
s1ccc(c1)c2ccncc2,5.6
s1ccc(c1)c2cccnc2,4.81
C1CCNC1,11.3
CC(=O)CC(O)=O,3.57
CC(=O)CCC(O)=O,4.5
CC(=O)NC(Cc1ccc(O)cc1)C(O)=O,9.88
CC(=O)NCC(O)=O,3.49
s1cnc(c1)c2ccccn2,4.05
s1cccc1c2ccncc2,5.48
s1cccc1c2cccnc2,4.41
C(c1ccccc1)c2ccccn2,5.12
OCC1=CC(=O)C(=C(I)O1)O,6.52
OCCC(O)=O,4.4
OCCCCCc1ccccn1,5.93
OCCCCCc1cccnc1,5.72
OCCCCCc1ccncc1,6.04
OCCCCc1ccccn1,5.83
OCCCCc1cccnc1,5.7
O[C@H]1CCCC[C@H]1C(O)=O,4.6
O[C@H]1CCC[C@@H](C1)C(O)=O,4.53
O[C@H]1CC[C@H](CC1)C(O)=O,4.64
CC(C)C[C@H](NC(=O)CN)C(=O)NCC(O)=O,7.95
CC(C)C[C@H](NC(=O)CNC(=O)CN)C(O)=O,7.9
CC(C)N,10.61
CC(C)[C@H](N)C(N)=O,7.72
CC(C)c1[nH]ccn1,7.77
ONC(=O)c1ccccc1,8.76
ONC1=C(CCCC1)N=O,10.57
ONC1=C(CCCCC1)N=O,10.54
O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,3.2
O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,2.97
O[C@@H]1CCCC[C@H]1C(O)=O,4.49
O[C@@H]1CCC[C@@H](C1)C(O)=O,4.41
O[C@@H]1CC[C@H](CC1)C(O)=O,4.48
OCc1cccnc1,5.0
OCc1ccncc1,5.41
ONC(/c1ccccc1)=C(N=O)\c2ccccc2,10.3
CC1CCC(=C(C1)NO)N=O,10.54
CCC(=O)C(O)=O,2.48
CCC(=O)NO,9.44
OC(=O)c1occc1,2.97
OC(=O)c1sccc1,3.33
OC(C(O)=O)c1ccccc1,3.2
OC(Cc1ccccn1)c2ccccc2,5.2
CC(O)C(O)=O,3.67
CC(O)CN,9.49
CC(O)Cc1ccccn1,5.48
CC(Oc1ccccc1)C(O)=O,2.88
CC1=C(O)C(=O)C=CO1,8.53
CC1=CC(=O)C(=CO1)O,8.02
OCCc1cccnc1,5.38
OCCc1ccncc1,5.68
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,3.46
