Name,smiles,E12,Metal,Reaction,SMILES,solvent
Toluene,CC1=CC=CC=C1,1.98,None,oxidation,CC1=CC=CC=C1,ACN
m-Xylene,CC1=CC(=CC=C1)C,1.8400000000000003,None,oxidation,CC1=CC(=CC=C1)C,ACN
Mesitylene,CC1=CC(=CC(=C1)C)C,1.69,None,oxidation,CC1=CC(=CC(=C1)C)C,ACN
Naphthalene,C1=CC=C2C=CC=CC2=C1,1.2599999999999998,None,oxidation,C1=CC=C2C=CC=CC2=C1,ACN
Phenylacetylene,C#CC1=CC=CC=C1,1.89,None,oxidation,C#CC1=CC=CC=C1,ACN
Diphenylacetylene,C1=CC=C(C=C1)C#CC2=CC=CC=C2,1.46,None,oxidation,C1=CC=C(C=C1)C#CC2=CC=CC=C2,ACN
1-ethynyl-4-methoxybenzene,COC1=CC=C(C=C1)C#C,1.27,None,oxidation,COC1=CC=C(C=C1)C#C,ACN
2-Methyl-1-pentene,CCCC(=C)C,2.12,None,oxidation,CCCC(=C)C,ACN
Cyclohexene,C1CCC=CC1,1.99,None,oxidation,C1CCC=CC1,ACN
Cyclopentene,C1CC=CC1,1.94,None,oxidation,C1CC=CC1,ACN
Norbornene,C1CC2CC1C=C2,1.8400000000000003,None,oxidation,C1CC2CC1C=C2,ACN
3-Methyl-2-buten-1-ol,CC(=CCO)C,1.7200000000000002,None,oxidation,CC(=CCO)C,ACN
2-Methyl-2-butene,CC=C(C)C,1.6,None,oxidation,CC=C(C)C,ACN
Styrene,C=CC1=CC=CC=C1,1.59,None,oxidation,C=CC1=CC=CC=C1,ACN
2-Chloro-trans-β-methylstyrene,C=CC1=CC=CC=C1,1.56,None,oxidation,Not Found,ACN
1-Methylcyclohexene,CC1=CCCCC1,1.56,None,oxidation,CC1=CCCCC1,ACN
beta-Methylstyrene,C/C=C/C1=CC=CC=C1,1.5299999999999998,None,oxidation,CC=CC1=CC=CC=C1,ACN
